prospect Salutation
Alderman
Ambassador
Baroness
Cantor
Capt.
Chap.
Coach
Col.
Commander
Comm.
Hazzan
Councilman
Dame
Dean
Drs.
Dr.
Estate
Family
Father
General
Governor
Hazzan
Hon.
Judge
Justice
Lt. Col.
Lt.
Major
Mesdmes.
Messrs
Miss
Mlles.
Mrs.
Mr.
Ms.
Msgr.
Pastor
Prof.
Profs.
R. Adm.
Rabbi
Rebbitzen
Rev.
Senator
Sir
Sister
